series,iso3,country,year,value,lower_bound,upper_bound,sex,age,reporting_type,nature,unit_code,source,is_headline
SH_STA_MORT,ARG,Argentina,2000,57.80834,52.84259,62.80726,FEMALE,_T,G,M,PER_100000_LIVE_BIRTHS,MMEIG estimates available at https://www.who.int/publications/i/item/9789240108462,True
SH_STA_MORT,ARG,Argentina,2001,60.25133,55.4893,65.56373,FEMALE,_T,G,M,PER_100000_LIVE_BIRTHS,MMEIG estimates available at https://www.who.int/publications/i/item/9789240108462,True
SH_STA_MORT,ARG,Argentina,2002,59.15006,54.69061,64.31613,FEMALE,_T,G,M,PER_100000_LIVE_BIRTHS,MMEIG estimates available at https://www.who.int/publications/i/item/9789240108462,True
SH_STA_MORT,ARG,Argentina,2003,60.93268,56.59829,66.16307,FEMALE,_T,G,M,PER_100000_LIVE_BIRTHS,MMEIG estimates available at https://www.who.int/publications/i/item/9789240108462,True
SH_STA_MORT,ARG,Argentina,2004,58.43938,54.198,63.41317,FEMALE,_T,G,M,PER_100000_LIVE_BIRTHS,MMEIG estimates available at https://www.who.int/publications/i/item/9789240108462,True
SH_STA_MORT,ARG,Argentina,2005,57.45685,53.21739,62.37688,FEMALE,_T,G,M,PER_100000_LIVE_BIRTHS,MMEIG estimates available at https://www.who.int/publications/i/item/9789240108462,True
SH_STA_MORT,ARG,Argentina,2006,60.04397,55.45899,65.23545,FEMALE,_T,G,M,PER_100000_LIVE_BIRTHS,MMEIG estimates available at https://www.who.int/publications/i/item/9789240108462,True
SH_STA_MORT,ARG,Argentina,2007,61.7407,56.95668,67.13713,FEMALE,_T,G,M,PER_100000_LIVE_BIRTHS,MMEIG estimates available at https://www.who.int/publications/i/item/9789240108462,True
SH_STA_MORT,ARG,Argentina,2008,59.32073,54.85658,64.18294,FEMALE,_T,G,M,PER_100000_LIVE_BIRTHS,MMEIG estimates available at https://www.who.int/publications/i/item/9789240108462,True
SH_STA_MORT,ARG,Argentina,2009,62.10812,57.76505,66.94428,FEMALE,_T,G,M,PER_100000_LIVE_BIRTHS,MMEIG estimates available at https://www.who.int/publications/i/item/9789240108462,True
SH_STA_MORT,ARG,Argentina,2010,54.74272,51.11087,58.76372,FEMALE,_T,G,M,PER_100000_LIVE_BIRTHS,MMEIG estimates available at https://www.who.int/publications/i/item/9789240108462,True
SH_STA_MORT,ARG,Argentina,2011,48.47361,45.69677,51.81275,FEMALE,_T,G,M,PER_100000_LIVE_BIRTHS,MMEIG estimates available at https://www.who.int/publications/i/item/9789240108462,True
SH_STA_MORT,ARG,Argentina,2012,49.27162,46.62955,52.11329,FEMALE,_T,G,M,PER_100000_LIVE_BIRTHS,MMEIG estimates available at https://www.who.int/publications/i/item/9789240108462,True
SH_STA_MORT,ARG,Argentina,2013,46.72781,44.4005,49.19005,FEMALE,_T,G,M,PER_100000_LIVE_BIRTHS,MMEIG estimates available at https://www.who.int/publications/i/item/9789240108462,True
SH_STA_MORT,ARG,Argentina,2014,43.4515,41.4967,45.58576,FEMALE,_T,G,M,PER_100000_LIVE_BIRTHS,MMEIG estimates available at https://www.who.int/publications/i/item/9789240108462,True
SH_STA_MORT,ARG,Argentina,2015,38.61611,36.70406,40.62487,FEMALE,_T,G,M,PER_100000_LIVE_BIRTHS,MMEIG estimates available at https://www.who.int/publications/i/item/9789240108462,True
SH_STA_MORT,ARG,Argentina,2016,39.5128,37.34217,41.92129,FEMALE,_T,G,M,PER_100000_LIVE_BIRTHS,MMEIG estimates available at https://www.who.int/publications/i/item/9789240108462,True
SH_STA_MORT,ARG,Argentina,2017,38.34257,35.85925,41.08107,FEMALE,_T,G,M,PER_100000_LIVE_BIRTHS,MMEIG estimates available at https://www.who.int/publications/i/item/9789240108462,True
SH_STA_MORT,ARG,Argentina,2018,38.48333,35.45174,41.77752,FEMALE,_T,G,M,PER_100000_LIVE_BIRTHS,MMEIG estimates available at https://www.who.int/publications/i/item/9789240108462,True
SH_STA_MORT,ARG,Argentina,2019,36.41051,32.80473,40.40727,FEMALE,_T,G,M,PER_100000_LIVE_BIRTHS,MMEIG estimates available at https://www.who.int/publications/i/item/9789240108462,True
SH_STA_MORT,ARG,Argentina,2020,39.67996,34.76303,46.44946,FEMALE,_T,G,M,PER_100000_LIVE_BIRTHS,MMEIG estimates available at https://www.who.int/publications/i/item/9789240108462,True
SH_STA_MORT,ARG,Argentina,2021,76.48618,71.08039,82.43643,FEMALE,_T,G,M,PER_100000_LIVE_BIRTHS,MMEIG estimates available at https://www.who.int/publications/i/item/9789240108462,True
